,Residual
2019-08-07,-0.00025462579277374733
2019-08-08,0.004703485571575357
2019-08-09,-0.006138593898230817
2019-08-12,-0.002240629597228814
2019-08-13,-0.00041449334184886187
2019-08-14,0.006737496558474696
2019-08-15,0.006283713553307806
2019-08-16,-0.003921584126495792
2019-08-19,-0.003010821625505873
2019-08-20,0.0018066920147412346
2019-08-21,-0.002950192614871573
2019-08-22,7.427721582878473e-05
2019-08-23,0.00037374377457126927
2019-08-26,0.006302716543131132
2019-08-27,-0.0005199985061618093
2019-08-28,-0.0022051348806256237
2019-08-29,-0.002698672057647525
2019-08-30,0.003383938690292968
2019-09-03,-0.0025477984312625114
2019-09-04,0.0019393056307456039
2019-09-05,0.0005317720140343204
2019-09-06,0.0029287755063975504
2019-09-09,-0.006422022508559775
