,Residuals
2019-10-11,-0.0023303860887162456
2019-10-14,0.0008522604416785267
2019-10-15,-0.002317552285120778
2019-10-16,-0.0027715166907192426
2019-10-17,-0.001377863984178556
2019-10-18,-0.001295556951562863
2019-10-21,0.0008202451335507762
2019-10-22,-0.0027742446264636816
2019-10-23,-0.00012687664560896011
2019-10-24,-0.001857959868651551
2019-10-25,-0.00040530774743604767
2019-10-28,-0.0021569352939361398
2019-10-29,-0.001734774384801084
2019-10-30,-0.000974507833990809
2019-10-31,-0.0011773453952167333
2019-11-01,0.0004582177722581033
2019-11-04,-0.0018498582259582107
2019-11-05,-0.001429083839871669
2019-11-06,-0.0014607680364372112
2019-11-07,-0.0011735995859854477
2019-11-08,-0.00032819020099616797
2019-11-11,-0.0006691094697422592
2019-11-12,0.001348990662560932
2019-11-13,-0.00132558505046378
2019-11-14,-0.000609537140750991
2019-11-15,-0.0010418880578792287
2019-11-18,-0.002481705303189535
2019-11-19,-0.0005739438022362704
2019-11-20,-0.000884728378330537
2019-11-21,0.0018686490513841981
2019-11-22,-0.0008845864145539607
2019-11-25,-0.0022146471859383152
2019-11-26,-0.002740459915367797
2019-11-27,-0.0018045281180319138
2019-11-29,-0.0022980031217546826
2019-12-02,-0.0002693671711467157
2019-12-03,0.001932159715809646
2019-12-04,0.007345614425201916
2019-12-05,-0.003197398173353132
2019-12-06,-0.0015967895466045962
2019-12-09,-0.002863455899284051
2019-12-10,-0.0016114680289217617
2019-12-11,-0.0008814718547716896
2019-12-12,-0.001544593116690177
2019-12-13,0.0005796012091778997
2019-12-16,-0.00030079287074685117
2019-12-17,-0.002806235849027553
2019-12-18,-0.0019337240420621675
2019-12-19,-0.0007463609085594791
2019-12-20,-0.002435118763445685
2019-12-23,-0.0019921388316673757
2019-12-24,-0.0016096403382418571
2019-12-26,-0.0017671846684652335
2019-12-27,-0.0018064061805991953
2019-12-30,0.0004438540093900643
2019-12-31,0.0019532290189051213
2020-01-02,-0.0023608402422155466
2020-01-03,-0.0007916629795639003
2020-01-06,0.0030637683060508562
2020-01-07,-0.0008805852336172463
2020-01-08,-5.1567775203422914e-05
2020-01-09,-0.0006057929378177861
2020-01-10,-0.0021924492077866837
2020-01-13,-0.0009356801452189414
2020-01-14,-0.002846550140686319
2020-01-15,0.0004576351666706821
2020-01-16,-0.0007895271585835703
2020-01-17,-0.0026897800748358148
2020-01-21,-0.0012646341511379465
2020-01-22,0.0007343027723152032
2020-01-23,-0.0007182442184015428
2020-01-24,0.0018311340686221738
2020-01-27,0.0017351434964296428
2020-01-28,0.009865431868622607
2020-01-29,-0.0045136204946232255
2020-01-30,-0.0013179627758645746
2020-01-31,9.80964466716994e-05
2020-02-03,0.002746505436627444
2020-02-04,-0.0021315754786933473
2020-02-05,-0.002542371606730226
2020-02-06,-0.002091832145686718
2020-02-07,-0.002050338935470808
2020-02-10,0.0018639330779509555
2020-02-11,-0.0034721085948582753
2020-02-12,-0.0006807161959220443
2020-02-13,-0.0019352510983078738
2020-02-14,0.000851720688632168
2020-02-18,-0.002058944641643922
2020-02-19,0.0011780200000874258
2020-02-20,-0.002577528049948462
2020-02-21,0.0027317041021822598
2020-02-24,0.0039057894923969633
2020-02-25,0.021657792205345416
2020-02-26,0.005637274826131973
2020-02-27,0.00481141200007008
2020-02-28,0.016383243385083963
2020-03-02,0.016893866486281196
