Date,Open,High,Low,Close
2019-03-29 14:15,961.1,961.18,960.79,960.79
2019-03-29 14:00,960.48,961.06,960.41,961.04
2019-03-29 13:45,961.05,961.05,960.44,960.47
2019-03-29 13:30,961.17,961.33,960.76,961.01
2019-03-29 13:15,961.09,961.19,960.59,961.19
2019-03-29 13:00,961.48,961.48,961.05,961.16
2019-03-29 12:45,961.35,961.52,960.97,961.48
2019-03-29 12:30,961,961.93,960.94,961.27
2019-03-29 12:15,960.05,961.04,960.05,961.04
2019-03-29 12:00,960.86,960.86,959.87,960.08
2019-03-29 11:45,960.4,961.19,960.32,960.83
2019-03-29 11:30,960.66,960.89,960.41,960.41
2019-03-29 11:15,959.94,960.79,959.94,960.69
2019-03-29 11:00,959.58,960.33,959.58,960.1
2019-03-29 10:45,959.53,959.97,958.21,959.41
2019-03-29 10:30,962.54,962.58,959.64,959.64
2019-03-29 10:15,962.55,962.55,961.42,962.5
2019-03-29 10:00,962.15,963.14,962.15,962.6
2019-03-29 9:45,962.36,962.41,960.74,962.06
2019-03-29 9:30,966.2,967.18,962.04,962.38
2019-03-28 16:15,963.84,963.84,963.84,963.84
2019-03-28 16:00,963.84,963.84,963.84,963.84
2019-03-28 15:45,964.16,964.26,963.57,964.26
2019-03-28 15:30,964.42,964.77,963.8,964.14
2019-03-28 15:15,963.79,964.68,963.76,964.44
2019-03-28 15:00,962.69,963.81,962.61,963.81
2019-03-28 14:45,962.81,962.86,962.52,962.72
2019-03-28 14:30,963.44,963.53,962.8,962.8
2019-03-28 14:15,963.31,963.78,963.2,963.52
2019-03-28 14:00,963.49,963.53,963.06,963.3
2019-03-28 13:45,962.89,963.59,962.8,963.4
2019-03-28 13:30,963.05,963.55,962.89,962.9
2019-03-28 13:15,962.94,963.56,962.84,963.06
2019-03-28 13:00,962.47,963.16,962.47,962.96
2019-03-28 12:45,961.9,962.49,961.56,962.46
2019-03-28 12:30,961.29,961.94,961.29,961.92
2019-03-28 12:15,960.73,961.43,960.73,961.37
2019-03-28 12:00,960.88,961.22,960.55,960.66
2019-03-28 11:45,960.91,961.37,960.58,960.87
2019-03-28 11:30,961.17,961.49,960.62,960.81
2019-03-28 11:15,962.26,962.44,961.16,961.18
2019-03-28 11:00,962.92,962.92,961.89,962.25
2019-03-28 10:45,963,963.19,962.65,962.72
2019-03-28 10:30,963.08,963.64,962.59,963.05
2019-03-28 10:15,963.9,964.16,963.34,963.34
2019-03-28 10:00,963.84,964.75,963.68,963.79
2019-03-28 9:45,963.6,963.97,963.11,963.75
2019-03-28 9:30,959.36,963.46,959.36,963.46
2019-03-27 16:15,960.9,960.9,960.9,960.9
2019-03-27 16:00,960.9,960.9,960.9,960.9
2019-03-27 15:45,960.54,960.78,959.94,960.62
2019-03-27 15:30,960.42,961.1,960.42,960.52
2019-03-27 15:15,959.8,960.35,959.67,960.35
2019-03-27 15:00,959.98,960.14,959.73,959.82
2019-03-27 14:45,960.26,960.78,959.9,959.9
2019-03-27 14:30,961.04,961.27,960.18,960.22
2019-03-27 14:15,961.77,961.77,960.84,960.99
2019-03-27 14:00,961.18,961.81,961.03,961.81
